id,mime,decoded_bytes,decoded_human,instances,distinct_pages,shared,footprint_bytes,recommended_action,example_page,all_pages,hash
img-143,png,11041,10.8 KB,1,1,no,11041,convert to WebP,index.html,index.html,142679df897a
img-144,jpeg,10976,10.7 KB,1,1,no,10976,convert to WebP,gopher-go-101.html,gopher-go-101.html,87eab8d7ef11
img-145,webp,10530,10.3 KB,1,1,no,10530,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,98a259067817
img-146,webp,10474,10.2 KB,1,1,no,10474,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,e97bf3662113
img-147,webp,9790,9.6 KB,1,1,no,9790,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,4deb8df60303
img-148,jpeg,9659,9.4 KB,1,1,no,9659,convert to WebP,gopher-connect.html,gopher-connect.html,bdbe3516b896
img-149,svg+xml,3143,3.1 KB,3,3,yes,9429,SHARED→one shared file; extract .svg (keep vector),gopher-go-101.html,gopher-go-101.html|gopher-go.html|gopher-tiers.html,f4edb3ffa5b2
img-150,webp,9248,9.0 KB,1,1,no,9248,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,ff6eebb28824
img-151,webp,4510,4.4 KB,2,2,yes,9020,SHARED→one shared file; extract as-is (already WebP),gopher-connect.html,gopher-connect.html|gopher-request.html,49c4c7c6071f
img-152,webp,4476,4.4 KB,2,2,yes,8952,SHARED→one shared file; extract as-is (already WebP),gopher-connect.html,gopher-connect.html|gopher-request.html,8d5bfd1104d7
img-153,webp,8862,8.7 KB,1,1,no,8862,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,eaf627432e41
img-154,png,8778,8.6 KB,1,1,no,8778,convert to WebP,gopher-go.html,gopher-go.html,d6655bbfd0e3
img-155,webp,8248,8.1 KB,1,1,no,8248,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,30e224c47e9e
img-156,webp,7490,7.3 KB,1,1,no,7490,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,cc097f02ef61
img-157,webp,7486,7.3 KB,1,1,no,7486,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,e3d940bb3d13
img-158,png,7259,7.1 KB,1,1,no,7259,convert to WebP,gopher-go.html,gopher-go.html,95a538a9507b
img-159,webp,7210,7.0 KB,1,1,no,7210,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,a4d16b13e93c
img-160,png,7059,6.9 KB,1,1,no,7059,convert to WebP,gopher-deals.html,gopher-deals.html,50965c81cd23
img-161,png,4200,4.1 KB,1,1,no,4200,convert to WebP,gopher-go.html,gopher-go.html,e10bc74ab097
img-162,webp,1490,1.5 KB,2,2,yes,2980,SHARED→one shared file; extract as-is (already WebP),gopher-connect.html,gopher-connect.html|gopher-request.html,2f750e64ce94
img-163,webp,2784,2.7 KB,1,1,no,2784,extract as-is (already WebP),gopher-request.html,gopher-request.html,3448ff20324d
img-164,webp,2752,2.7 KB,1,1,no,2752,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,0b3fff590091
img-165,webp,2048,2.0 KB,1,1,no,2048,extract as-is (already WebP),gopher-connect.html,gopher-connect.html,ba7c1549e749
img-166,webp,1986,1.9 KB,1,1,no,1986,extract as-is (already WebP),gopher-request.html,gopher-request.html,758f13b08978
img-167,svg+xml,763,763 B,1,1,no,763,extract .svg (keep vector),gopher-deals.html,gopher-deals.html,94797201708d
img-168,gif,26,26 B,2,2,yes,52,SHARED→one shared file; convert to animated WebP / MP4,gopher-customer-deals.html,gopher-customer-deals.html|gopher-deals.html,88dab18d0642
